Question,Answer
information regarding variety of paddy ?,"information regarding variety of paddy : PR 123, PR 122,PR121"
information regarding weather of amritsar?,rainfall expected in next few days.
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,"FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP, PLS APPLY REGENT-10KG OR 8KG CARTAP HYDROCHLORIDE OR SPRAY-500ML MONO.+100ML NUVAN IN 150LITE WATER."
HOW TO CONTROL OF CATERPILAR IN BERSEEM CROP?,SPRAY OF TRACER 60 ML IN 100 LIRES OF WATER PER ACRE.
information regrading for the contect no of poultry farm of pau?,the contect no is 0161-2414042.
Information regarding for wather ?,some clouds and chance of rain
Information regarding for wather ?,some clouds and chance of rain
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING WEATHER OF TARAN TARAN?,TODAY IS NO CHANCE OF RAIN.
INFORMATION REGARDING FOR THE CONTROL OF CATERPILAR IN BARSEEM CROP ?,FOR THE CONTROL OF CATERPILAR in barseem 50ml coragen/acer
INFORMATION REGARDING VARIETIES OF TURMERIC?,"PUNJAB HALDI-1, PUNJAB HALDI-2."
INFORMATION REGARDING FOR VARIETY OF PADDY ?,"VARIETY OF PADDY ARE PR-123, PR-122 AND PR-121."
information regarding varieties paddy?,"new varieties is pr-123, pr-122,pr-121, punjab basmati-3"
INFORMATION REGARDING WEATHER FORECAST,THERE ARE SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR WEATHER,CHANCES OF SHOWERS ON 25 IN AMRITSAR.
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN CHILLIES ?,SPRAY BLUE COPPER @ 400 GM IN 125 LITRE WATER/ACRE.
information regarding weather ?,some clouds and some chances of rainfall on 25th April .
INFORMATION REGARDING TO WEATHER ?,WEATHER IS CLOUDY IN UPCOMING DAYS.
INFORMATION REGADING WEATHER FORCASTING?,25 APRIL CHANCES OF RAINFALL
INFORMATION REGARDING TO WEATHER ?,WEATHER IS CLOUDY IN UPCOMING DAYS.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA)BASMATI ?,"PUNJAB BASMATI-3,PUSA PUNJAB BASMATI-1509 ,PUSA BASMATI-1121 ."
INFORMATION REGARDING WEATHER FORECAST,WEATHER OF KAPURTHALA-SKY IS PARTLY CLOUDY .
INFORMATION REGARDING CONTROL OF CATTLE PILLAR IN WHEAT CROP?,SPRAY MONOCILL 400ML IN 200 LITRE OF WATER/ACRE
INFORMATION REGARDING FOR THE CONTROL OF LEAF/FRUIT EATING CATTERPILLER IN TOMATO CROP?,"FOR THE CONTROL OF LEAF/FRUIT EATING CATTERPILLER IN TOMATO CROP,PLS. SPRAY LARVIN(THIODICARB)-250GM/ACRE IN 120LITRE WATER."
information regarding control of cater piller in moong?,spray of ekalux @200 ml in 200liter water/acer
INFORMATION REGARDING FOR CONTROL OF APHIDS IN WHEAT ?,SPRAY SOLOMON @ 80 GM IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING FOR WEATHER,WEATHER IS CLEAR FOR FEW DAYS IN AMRITSAR.
information regarding control of cater piller in bhindi?,spray of proclaim @200 ml in 150 litre water/acer
INFORMATION REGARDING FOR CONTROL OF CATERPILAR IN WHEAT ?,SPRAY EKALUX @ 400 ML IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF CATERPILAR IN BARSEEM CROP ?,FOR THE CONTROL OF CATERPILAR in barseem 50ml coragen/acer
INFORMATION REGARDING FOR WEATHER,SOME CHANCES OF SHOWERS ON 25 APRIL IN AMRITSAR.
INFORMATION REGARDING WEATHER OF AMRITSAR?,NO CHANCE OF RAINFALL TILL 25TH APRIL.
contact no.of PAU ?,contact no.of PAU : 01612401960
"INFORMATION REGARDING FOR THE CONTROL OF TOP BORER & OTHER INSECTS(BLACK BUG,PYRILLA,WHITE FLY ETC.) IN SUGARCANE CROP?","FOR THE CONTROL OF TOP BORER & OTHER INSECTS(BLACK BUG,PYRILLA,WHITE FLY ETC.) IN SUGARCANE CROP,PLS SPRAY 150ML CORAGEN/ACRE IN 400 LITRE WATER."
INFORMATION REGARDING WEATHER FORECAST,INFORMATION REGARDING WEATHER FORECAST : THERE ARE CHANCES OF RAIN AFTER TWO DAYS
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE CONTROL OF ARMY WORM ATTACK ON WINTER MAIZE(SIALU MAKKI) CROP?,"FOR THE CONTROL OF ARMY WORM ATTACK ON WINTER MAIZE(SIALU MAKKI) CROP,SPRAY 250ML CYPERMETHRIN 25%EC MIXED WITH 150LITRE WATER PER ACRE."
information regarding control of cattle pillar in wheat?,spray acqalux 400ml in 200 litre of water/acre
information regarding new variety of paddy?,pr 123 and average yield is 29 quintals/acre
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PR 123,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER FORCASTING?,"SOME CHANCES OF RAINFALL 25,26 APRIL"
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,"An isolated thunderstorm in the evening; otherwise, clearing"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,"
information regarding weather of,some clouds and no chances of rainfall .
information regarding weather of,some clouds and no chances of rainfall .
information regarding weather of,some clouds and no chances of rainfall .
information regarding weather of,some clouds and no chances of rainfall .
information regarding weather of,some clouds and no chances of rainfall .
information regarding weather ?,some clouds and no chances of rainfall .
information regarding weather ?,some clouds and no chances of rainfall .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-123(NEW VARIETY-2014),PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY AND THERE ARE SOME CHANCES OF RAIN .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY AND THERE ARE SOME CHANCES OF RAIN .
INFORMATION REGARDING FOR CONTROL OF PURPLE COLOUR IN MAIZE ?,SPRAY NPK (0:52:34) @ 1 KG IN 100 LITRE WATER/ACRE.
INFORMATION REGARDING YIELD OF PUSHA BASMATI 1509?,YIELD OF PUSHA BASMATI 1509 IS 15.7Q/ACRE.
information regarding weather ?,some clouds and no chances of rainfall .
asking about weather forcasting today?,no chance of rainfall today
Information regarding for wather ?,some clouds and no chance of rain today
INFORMATION REGARDING NEW VARIETY OF PADDY?,PR 123 AND 29 QUINTALS/ACRE AVERAGE YIELD
INFORMATION REGARDING NURSERY SOWING OF PADDY ?,INFORMATION REGARDING NURSERY SOWING OF PADDY : TIME FOR NURSERY SOWING IS FROM 15 TO 30 MAY
INFORMATION REGARDING CONTROL OF late blight of tometo?,SPRAY 500 GM RIDOMIL MZ 200 LITER WATER /ACER
INFORMATION REGARDING TRANING OF MUSHROOM CROP?,I HAVE GIVE TO THE CONTACT NO-0183-2505672 IN KVK AMRITSAR.
INFORMATION REGARDING CONTROL OF CATTLE PILLAR IN SUNFLOWER?,SPRAY NOVAAN 200ML IN 100 LITRE OF WATER/ACRE
# INFORMATION REGARDING SEED RATE OF RICE CROP?,I TOLD THE KISAN SEED RATE OF RICE CROP:-8-10 KG SEED PER ACRE.
how to weed control of in rice crop?,"A: spray nominee gold 10 sc @ 100 ml in 150 litres of water per acre,as 20-25 days after transplanting."
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY IS NO CHANCE OF RAIN.
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY FOR NEXT TWO DAYS AND SOME CHANCE OF RAIN.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR123,PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113, -PUNJAB BASMATI1121,1509,PB-3"
INFORMATION REGARDING FOR THE CONTROL OF EARLY BLIGHT DISEASE IN TOMATO CROP?,"FOR THE CONTROL OF EARLY BLIGHT DISEASE IN TOMATO CROP,PLEASE SPRAY CABRIO TOP(PYRACHLOSTROBIN) -300GM/ACRE."
INFORMATION REGARDING WEATHER FORECAST,TOMORROW THERE ARE CHANCES OF RAIN
information regarding weather of Amritsar?,clear weather in next few days.
INFORMATION REGARDING TO WEATHER?,no chance of rainfall today
Information regarding weather of Amritsar?,"Mostly clear, no chance of rainfall."
INFORMATION REGARDING TO WEATHER?,no chance of rainfall today
INFORMATION REGARDING FRUIT DROPPING IN CITRUS PLANTS ?,SPRAY PLANOFIX 50 ML IN 200 LITRE OF WATER PER ACRE
information regarding weather ?,some clouds and no chances of rainfall today.
information regarding weather ?,some clouds and no chances of rainfall .
information regarding weather ?,some clouds and no chances of rainfall .
information regarding weather ?,some clouds and no chances of rainfall .
information regarding aphids in maize?,spray 100ml metasystox in 100 liter of water/acre.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING IMPROVED VARIEITS OF RICE?,"IMPROVED VARIEITS OF RICE PR 111,PR 113,PR 114,PR 115,PR 116,PR 121,PR 122,PR 123."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"PUNJAB BASMATI-3,PUSA PUNJAB BASMATI-1509 ,PUSA BASMATI-1121 ."
INFORMATION REGARDING WEATHER FORECAST,THERE ARE NO CHANCES OF RAIN IN NEXT DAY.
INFORMATION REGARDING TO WEATHER ?,WEATHER IS CLOUDY BUT NO CHANCE OF RAINFALL.
INFORMATION REGARDING TO WEATHER ?,THERE ARE NO CHANCES OF RAIN IN NEXT DAY.
information regarding weather of amritsar?,clear weather in next few days.
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,"FOR THE CONTROL OF TERMITE IN SUGARCANE CROP,PLS APPLY 1LITRE CHLORO.50%EC OR 2.5 LITRE CHLORO.20% AFTER MIXING IN 10KG SEND AT THE TIME OF IRRIGATION."
INFORMATION REGARDING TO WEATHER ?,WEATHER IS CLOUDY BUT NO CHANCE OF RAINFALL.
CONTROL OF FLOWER DROP IN CHILLI?,"SPRAY 1ML PLANOFIX(NAA) IN 4.5LT WATER, ADJUST DOSE ACCORDINGLY."
INFORMATION REGARDING WEATHER FORECAST,THERE ARE SOME CHANCES OF RAIN IN NEXT DAY.
INFORMATION REGARDING WEATHER FORECAST,TOMARROW SOME CHANCES OF SHOWERS IN AMRITSAR.
INFORMATION REGARDING TO WEATHER?,some chances of rainfall tomorrow.
information regarding weather?,some chances of rainfall tomorrow.
INFOMATION REGARDING FOR THE SOWING TIME OF PADDY ?,SUITABLE SOWING TIME OF PADDY IS MID MAY.
INFORMATION REGARDING FRUIT DROPING?,SPRAY 1 ML PLANOFIX IN 4 LTR WATER.
INFORMATION REGARDING WEATHER?,FEW CHANCES OF RAIN IN NEXT FEW DAYS
INFORMATION REGARDING CHANCE OF RAINFALL ?,10% CHANCE OF RAINFALL .
INFORMATION REGARDING TO WEATHER?,THERE ARE SOME CHANCES OF RAIN IN NEXT TWO DAYS.
INFORMATION REGARDING FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP?,"FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP,PLS SPRAY-CYPERMETHRIN-250ML OR CYPERMETHRIN-250ML OR CARTAP HYDROCHLORIDE(POWDER)-250GM IN 160LITRE WATER/ACRE."
INFORMATION REGARDING WEATHER OF AMRITSAR?,I TOLD THE KISAN 10 % CHANCE OF RAIN.
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF SUGARCANE PLANTING?,"THE FERT. DOSE AT THE TIME OF SUGARCANE PLANTING-DAP-75KG,MOP-40KG & UREA-40KG."
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF SUGARCANE PLANTING?,"THE FERT. DOSE AT THE TIME OF SUGARCANE PLANTING-DAP-75KG,MOP-40KG & UREA-40KG."
INFORMATION REGARDING WEATHER OF AMRITSAR?,SOME CHANCE OF RAIN FALL NEXED ONE DAYS .
information regarding control of red bittle in vegetables ?,spray ALANTO 200 ml in 150 litre of water per acre
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY FOR NEXT TWO DAYS AND SOME CHANCE OF RAIN.
Information regarding how to control Leaf Spots on chillies?,Spray 500 gm. Antracol in 200 lt. of water per acre.
INFORMATION REGARDING FOR THE SOWING TIME OF COTTON(NARMA)?,THE SOWING TIME OF COTTON(NARMA) IS-1ST APRIL TO 15 MAY.
INFORMATION REGARDING IMPROVED VARIETES OF rice?,"pr 123 ,pr122 , pr121 ."
INFORMATION REGARDING TO WEATHER ?,SOME CHANCES OF RAIN IN NEXT 2 DAYS
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP?,"FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP,PLS SPRAY-CYPERMETHRIN-250ML OR CYPERMETHRIN-250ML OR CARTAP HYDROCHLORIDE(POWDER)-250GM IN 160LITRE WATER/ACRE."
information regarding new variety of paddy?,pr 123 and average yield is 29 quintals/acre
INFORMATION REGARDING TO WEATHER?,some chances of rainfall today.
INFORMATION REGARDING WEATHER FORECAST,TOMARROW SOME CHANCES OF SHOWERS IN AMRITSAR.
INFORMATION REGARDING PUNJAB BASMATI-3?,"YIELD-16Q/ACRE, HEIGHT-105CM, MATURES IN 139DAYS."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"PUNJAB BASMATI-3,PUSA PUNJAB BASMATI-1509 ,PUSA BASMATI-1121 ."
INFORMATION REGARDING CONTROL OF CATTLE PILLAR IN WHEAT CROP?,SPRAY 400ML ACQALUX IN 200 LITRE OF WATER/ACRE
INFORMATION REGARDING WEATHER FORECAST,THERE ARE SOME CHANCES OF RAIN IN NEXT DAY.
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP?,"FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP,PLS SPRAY FAME 480(FLUBENDAMIDE)-30ML OR CORAGEN(CHLORANTRANILIPROLE 18.5% SC)-60ML IN 200LITRE WATER/ACRE."
INFORMATION REGARDING UREA REQUIREMENT IN OKRA?,80KG UREA IN TWO SPLIT DOSE. 1ST AT TIME OF SOWING & 2ND AFTER FRUIT PICKING.
INFORMATION REGARDING CONTROL OF FRUIT DROP IN CITRUS?,SPRAY 20MG 2-4D SODIUM SALT OF HORTICULTURE GRADE IN 1LT WATER.
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY FOR NEXT TWO DAYS AND SOME CHANCE OF RAIN.
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-1 MAY TO 25MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING WEATHER?,SOME CHANCES OF RAINFALL TOmorrow
information regarding weather ?,some clouds and some chances of rainfall on fri-sat .
INFORMATION REGARDING CHANCE OF RAINFALL ?,10% CHANCE OF RAINFALL .
INFORMATION REGARDING CONTROL OF CATTLE PILLAR IN MAIZE?,SPRAY 400ML ACQALUX IN 200 LITRE OF WATER/ACRE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"PUNJAB BASMATI-3,PUSA PUNJAB BASMATI-1509 ,PUSA BASMATI-1121 ."
INFORMATION REGARDING IMPROVED VARIETIES OF MOONG?,"IMPROVED VARIETIES OF SUMMER MOONG PAU 911,ML 818 ML 613."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -RCH-650,RCH-776,RCH-134Bt,RCH-317Bt,RCH-308Bt,MRC-6301,MRC-6304 & MRC-7031 BOLLGAURD-II(RUBI),ANKUR-651,ANKUR-09,ANKUR-2534."
information regarding weather of moga?,clear weather in next few days.
Information regarding for wather ?,some clouds and chnce of rain
INFORMATION REGARDING WEATHER OF AMRITSAR?,NO CHANCES OF RAINFALL FOR FEW DAYS
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3,PUSA-1121."
information regarding weather of moga?,cloudy weather in next few days.
INFORMATION REGARDING FRUIT DROPPING OF CHILLIES ?,SPRAY PLANOFIX 1 ML IN 4.5 LITRE OF WATER
Information regarding for wather ?,some clouds and no chance of rain
information regarding control of flower droping in anar?,spray planofix @ 1 ml in 4.5 liters of water/acre.
INFORMATION REGARDING TO WEATHER?,THERE ARE SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING SEED RATE OF RICE CROP?,I TOLD THE KISAN SEED RATE OF RICE CROP:-8-10 KG SEED PER ACRE.
INFORMATION REGARDING TO WEATHER ?,SOME CHANCES OF RAIN IN NEXT 2 DAYS
INFORMATION REGARDING FOR VARIETY OF PADDY ?,VARIETY OF PADDY IS PR-123 AND ITS YIELD IS 29.0 Q/ACRE.
INFORMATION REGARDING FOR GOOD GROWTH OF BITTER GUARD ?,SPRAY TATA BAHAAR @ 200 ML IN 100 LITRE WATER/ACRE.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,"
Information regarding weather of Amritsar?,"Some clouds, chances of light rainfall and thunderstorms."
INFORMATION REGARDING VERIETY OF RICE?,"PR 123(30QTIS),121(31QTLS),111(28QTLS)"
INFORMATION REGARDING WEATHER FORECAST?,NO CHANCE TO RAINFALL NEXT 3 DAYS
information regarding veriety of moong?,"ml-668,ml-818 ,ml"
INFORMATION REGARDING WEATHER FORECAST,WEATHER IS CLEAR FOR FEW DAYS IN AMRITSAR.
INFORMATION REGARDING WEATHER FORECAST?,NO CHANCE TO RAINFALL NEXT 3 DAYS
INFORMATION REGARDING CONTROL OF red pumpkin beetle ?,brodcasting 2.75 kg FURADAN 3 G IN /ACER
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-15 TO 30MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
Information regarding varieties of Basmati?,"Pusa Punjab Basmati-1509, Pusa-1121, Punjab Basmati-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
UREA REQUIREMENT FOR CITRUS PLANT OF AGE 2-3 YEARS OLD?,110-130GM UREA IS REQUIRED PER PLANT.
INFORMATION REGARDING CONTROL DROPPING OF FRUITS AND LEAF ?,SPRAY 1ML PLANOFIX IN 4 LTR OF WATER / PLANT .
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF COTTON(NARMA) SOWING?,"THE FERT. DOSE AT THE TIME OF COTTON(NARMA) SOWING IS-FYM.-250Q.,DAP-22KG,MOP-20KG & UREA-130KG./ACRE."
INFORMATION REGARDING FLORICULTURE?,"PROVIDE BASIC INFORMATION, FOR TRAINING & OTHER ASSISTANCE;PLEASE CONTACT NEAREST KVK.0183-2505672"
INFORMATION REGARDING WEATHER?,WEATHER IS DRY AND THERE ARE NO CHANCES OF RAIN today.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-123(NEW VARIETY-2014),PR 123, PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-NARSERY-1MAY AFTER 10 JUNE & BASMATI VARIETIES-FIRST WEEK OF JUNE .
information regarding weather ?,no chances of rainfall in next few days
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-123(NEW VARIETY-2014), PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER FORECAST OF AMRITSAR?,WEATHER REMAINS ALMOST CLEAR.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-123(NEW VARIETY-2014), PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
how many days taken by variety pr111 to ripe,its take around 138 days to ripe after seeding
INFORMATION REGARDING HELP LINE NUMBER OF ANIMAL HUSBANDRY DEPARTMENT ?,HELP LINE NUMBER OF ANIMAL HUSBANDRY DEPARTMENT : 0161- 2414005 .
information regarding weather?,no chances of rainfall in next few days
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding control of root rot in bhindi?,spray of indofil m-45 @300 gm in 200 litre water/acer
CONTROL OF FRUIT ROT IN OKRA?,SPRAY 750GM INDOFIL M-45 IN 250LT WATER/ACRE.
INFORMATION REGARDING WEATHER?,WEATHER IS DRY AND THERE ARE NO CHANCES OF RAIN today.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR CONTROL OF BLIGHT SPOTS IN TOMATO ?,SPRAY BLUE COPPER @ 400 GM IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING FOR CONTROL OF FRUIT DROPPING IN CITRUS PLANT ?,SPRAY BAVISTIN 15 GM + 2-3 DROPS OF HORTICULTURE GRADE IN 15 LITRE WATER. DONT REPEAT THIS SPRAY.
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-15 TO 30MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)- PR 123,PR-121,PR-122,PR-118,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,"FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP,PLS SPRAY 300ML MONOCROTOPHOSE+100ML NUVAN IN 200 LITRE WATER."
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,"FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP,PLS SPRAY 300ML MONOCROTOPHOSE+100ML NUVAN IN 200 LITRE WATER."
INFORMATION REGARDING FOR THE CONTACT NUMBER OF ANIMAL HUSBANDRY DEPTT. OF AMRITSAR ?,PLEASE CONTACT ON THIS NUMBER - 0183-2536283 (Dr. JAGDISH CHANDER).
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY IS NO CHANCE OF RAIN.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-123(NEW VARIETY-2014), PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY IS NO CHANCE OF RAIN.
information regarding weather of amritsar?,no chances of rainfall for few days
INFORMATION REGARDING FOR THE SEED RATE OF BAJRA PER ACRE?,the seed rate of bajra is 6-8kg/acre
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-123(NEW VARIETY-2014), PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY AND SOME CHANCE OF RAIN TODAY.
INFORMATION REGARDING TO WEATHER?,no chance of rainfall.
information regarding planting time of paddy and basmati rice?,15 may and 15 june
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"PUNJAB BASMATI-3,PUSA PUNJAB BASMATI-1509 ,PUSA BASMATI-1121 ,(JHONA)PR-121,PR-122,PR-123,PR-111,PR-113,PR-114,PR-114,PR-116,PR-118."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"PUNJAB BASMATI-3,PUSA PUNJAB BASMATI-1509 ,PUSA BASMATI-1121 ,(JHONA)PR-121,PR-122,PR-123,PR-111,PR-113,PR-114,PR-114,PR-116,PR-118."
